"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1600000US0600135","Acalanes Ridge CDP, California","1132600","118181","null","null",
"1600000US0600156","Acampo CDP, California","-","**","**","-",
"1600000US0600212","Acton CDP, California","582600","24296","null","null",
"1600000US0600296","Adelanto city, California","239100","9430","null","null",
"1600000US0600310","Adin CDP, California","139100","23299","null","null",
"1600000US0600394","Agoura Hills city, California","857700","32809","null","null",
"1600000US0600450","Agua Dulce CDP, California","672800","56766","null","null",
"1600000US0600464","Aguanga CDP, California","-","**","**","-",
"1600000US0600478","Ahwahnee CDP, California","352100","50802","null","null",
"1600000US0600535","Airport CDP, California","-","**","**","-",
"1600000US0600562","Alameda city, California","972800","23222","null","null",
"1600000US0600618","Alamo CDP, California","1802100","83633","null","null",
"1600000US0600674","Albany city, California","963700","43963","null","null",
"1600000US0600716","Albion CDP, California","811200","408121","null","null",
"1600000US0600786","Alderpoint CDP, California","-","**","**","-",
"1600000US0600884","Alhambra city, California","654000","10254","null","null",
"1600000US0600898","Alhambra Valley CDP, California","983300","123162","null","null",
"1600000US0600947","Aliso Viejo city, California","685700","16435","null","null",
"1600000US0600982","Alleghany CDP, California","-","**","**","-",
"1600000US0600996","Allendale CDP, California","683900","141839","null","null",
"1600000US0601010","Allensworth CDP, California","108900","15043","null","null",
"1600000US0601094","Almanor CDP, California","-","**","**","-",
"1600000US0601150","Alondra Park CDP, California","629200","18373","null","null",
"1600000US0601164","Alpaugh CDP, California","82700","33651","null","null",
"1600000US0601192","Alpine CDP, California","654200","21849","null","null",
"1600000US0601228","Alpine Village CDP, California","377300","60840","null","null",
"1600000US0601276","Alta CDP, California","448400","65447","null","null",
"1600000US0601290","Altadena CDP, California","879600","25817","null","null",
"1600000US0601358","Alta Sierra CDP (Kern County), California","-","**","**","-",
